Account Name,Website,Billing State/Province,Opportunity Owner,Close Date,Est. Annual Construction Volume Range,USD Total Delta ARR,# of Pipeline Opps,Entry Channel (Category)
LTP Builders,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.constructioninsanantonio.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.constructioninsanantonio.com/ (New Window)"">http://www.constructioninsanantonio.com/</a>",TX,Vicky Vo,11/23/2022,Less than 5M,"18,100.00",4,Unknown
Precise Contractor Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fprecisecontractor.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://precisecontractor.com (New Window)"">http://precisecontractor.com</a>",CA,DJ Ryder,11/23/2022,10M-20M,"7,957.00",1,Inbound
CT West Construction Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fctwestconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://ctwestconstruction.com (New Window)"">http://ctwestconstruction.com</a>",CA,Megan Nichter,11/23/2022,Less than 5M,"15,637.89",1,Inbound
Construx LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fconstrux.llc%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://construx.llc (New Window)"">http://construx.llc</a>",KS,Cody Consoli,11/23/2022,10M-20M,"18,344.00",2,Inbound
Frontier General Contracting Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.frontiergc.net%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.frontiergc.net (New Window)"">http://www.frontiergc.net</a>",PA,Mike Puglise,11/23/2022,10M-20M,"9,669.00",2,Inbound
Construction Systems Inc.,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fconsysohio.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://consysohio.com (New Window)"">http://consysohio.com</a>",OH,Andrew McBride,11/23/2022,5M-10M,"12,500.25",1,Inbound
Hof Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.hofconstruction.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.hofconstruction.com/ (New Window)"">http://www.hofconstruction.com/</a>",MO,Max Head,11/22/2022,10M-20M,"9,361.00",2,Inbound
The Boardman Group,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Ftheboardmangroup.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://theboardmangroup.com (New Window)"">http://theboardmangroup.com</a>",MA,John Azar,11/22/2022,5M-10M,"6,499.71",1,Inbound
Uwharrie Builders LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.uwharriebuilders.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.uwharriebuilders.com (New Window)"">http://www.uwharriebuilders.com</a>",NC,Claire Steinbruck,11/21/2022,20M-50M,"30,464.38",1,Inbound
"Kelly Construction & Design, Ltd","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.kellyconstructiondesign.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.kellyconstructiondesign.com (New Window)"">http://www.kellyconstructiondesign.com</a>",IL,Javier Gutierrez,11/21/2022,20M-50M,"38,764.00",2,Outbound
Steel River Building Systems,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.steelriverinc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.steelriverinc.com (New Window)"">http://www.steelriverinc.com</a>",PA,Mike Puglise,11/18/2022,5M-10M,"13,482.00",3,Inbound
Don Tankersley Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.dtcportland.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.dtcportland.com/ (New Window)"">http://www.dtcportland.com/</a>",OR,Max Head,11/18/2022,5M-10M,"20,622.59",2,Outbound
Jayz Design And Contracting LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fjayzdesign.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://jayzdesign.com (New Window)"">http://jayzdesign.com</a>",MD,Cody Consoli,11/18/2022,5M-10M,"9,600.00",1,Inbound
"Kent Development, LLC - HQ","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.kentdevelopmentllc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.kentdevelopmentllc.com/ (New Window)"">https://www.kentdevelopmentllc.com/</a>",TX,Andrew McBride,11/18/2022,5M-10M,"10,500.00",1,Inbound
Encore Construction Inc,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.encoreconstruction.net%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.encoreconstruction.net/ (New Window)"">https://www.encoreconstruction.net/</a>",MD,Claire Steinbruck,11/18/2022,10M-20M,"36,780.01",3,Outbound
Wood Rodgers - Sacramento,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwoodrodgers.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://woodrodgers.com (New Window)"">http://woodrodgers.com</a>",CA,Jeffrey Bohl,11/17/2022,Less than 5M,"9,360.90",1,Inbound
D Barnes Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.dbarnesconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.dbarnesconstruction.com (New Window)"">http://www.dbarnesconstruction.com</a>",TX,Jacob Mickle,11/17/2022,Less than 5M,"10,416.88",1,Inbound
Diversity Resources Group LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fdiversityresourcesgroup.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://diversityresourcesgroup.com (New Window)"">http://diversityresourcesgroup.com</a>",TX,Kyler Hankins,11/17/2022,5M-10M,"17,769.26",2,Outbound
"Insignia Construction Company, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Finsigniacc.com%2Fabout%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://insigniacc.com/about/ (New Window)"">https://insigniacc.com/about/</a>",FL,Mike Puglise,11/17/2022,5M-10M,"27,969.53",4,Inbound
Afonova Nelson Design Group,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fafonovanelsondg.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://afonovanelsondg.com (New Window)"">http://afonovanelsondg.com</a>",FL,Sean McGee,11/17/2022,5M-10M,"8,000.00",1,Inbound
Chapin Residential & Commercial LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Finternationalwalldesigns.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://internationalwalldesigns.com (New Window)"">http://internationalwalldesigns.com</a>",MD,Sydney Campbell,11/16/2022,Less than 5M,"9,610.44",1,Inbound
Bushman Construction Management Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fbushmancm.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://bushmancm.com/ (New Window)"">http://bushmancm.com/</a>",IL,Daniel Sungnam Yoo,11/16/2022,5M-10M,"17,976.00",2,Inbound
Aventura Construction Corp.,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Faventuracorp.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://aventuracorp.com (New Window)"">http://aventuracorp.com</a>",NY,Mike Puglise,11/16/2022,5M-10M,"21,519.22",2,Outbound
Iron Mike Construction LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.ironmikeconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.ironmikeconstruction.com (New Window)"">http://www.ironmikeconstruction.com</a>",CO,Ashley Laden,11/15/2022,Less than 5M,"12,596.00",2,Outbound
"Fitzpatrick Design Construction Services Group, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Ffdcstx.com%2Fcontact-us%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://fdcstx.com/contact-us (New Window)"">https://fdcstx.com/contact-us</a>",TX,Javier Gutierrez,11/15/2022,10M-20M,"13,121.00",2,Outbound
Medora Building Company,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.medorabuilding.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.medorabuilding.com (New Window)"">http://www.medorabuilding.com</a>",MI,Cole Wilhite,11/15/2022,Less than 5M,"14,904.00",1,Outbound
ADMER Construction Group,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.admerconstruction.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.admerconstruction.com/ (New Window)"">https://www.admerconstruction.com/</a>",FL,Mike Puglise,11/14/2022,10M-20M,"30,277.82",1,Inbound
Icon builders,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.buildzoom.com%2Fcontractor%2Ficon-builders-llc-ut%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.buildzoom.com/contractor/icon-builders-llc-ut (New Window)"">https://www.buildzoom.com/contractor/icon-builders-llc-ut</a>",UT,Max Head,11/14/2022,5M-10M,"19,677.91",2,Inbound
"Three Studio Architecture And Engineering, D.P.C.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fthreestudio.nyc%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://threestudio.nyc (New Window)"">http://threestudio.nyc</a>",NY,Sean McGee,11/14/2022,Less than 5M,"7,488.72",1,Inbound
"Armadillo Building Company, LLC.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Farmadillobuilding.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://armadillobuilding.com (New Window)"">http://armadillobuilding.com</a>",TX,Kyler Hankins,11/14/2022,Less than 5M,"18,311.00",1,Inbound
The Grain,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fbuildwiththegrain.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://buildwiththegrain.com (New Window)"">http://buildwiththegrain.com</a>",WY,Jeffrey Bohl,11/11/2022,5M-10M,"26,418.60",2,Outbound
"TTE, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.tte.site%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.tte.site/ (New Window)"">https://www.tte.site/</a>",TX,Colton Erickson,11/11/2022,10M-20M,"30,764.30",1,Unknown
Midwest GC LLC. - HQ,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.midwestgc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.midwestgc.com/ (New Window)"">http://www.midwestgc.com/</a>",IN,John Azar,11/10/2022,20M-50M,"31,937.87",5,Outbound
Team Vision,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.fsdesignbuild.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.fsdesignbuild.com (New Window)"">http://www.fsdesignbuild.com</a>",TX,Colton Erickson,11/10/2022,5M-10M,"7,004.00",3,Outbound
Floyd Construction Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Ffloydconstructioninc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://floydconstructioninc.com (New Window)"">http://floydconstructioninc.com</a>",CA,Sean McGee,11/10/2022,5M-10M,"13,272.10",1,Outbound
Alonso Construction Of So Cal Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Falonsoconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://alonsoconstruction.com (New Window)"">http://alonsoconstruction.com</a>",CA,Colin Bethran,11/10/2022,Less than 5M,"6,100.00",1,Inbound
Tomco,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Ftomcorc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://tomcorc.com (New Window)"">http://tomcorc.com</a>",TX,Colton Erickson,11/9/2022,5M-10M,"20,976.00",1,Outbound
Dual Construction LLC,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.dualbuilt.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.dualbuilt.com/ (New Window)"">https://www.dualbuilt.com/</a>",TX,Terence McNair,11/9/2022,Less than 5M,"7,488.72",1,Inbound
Siwek Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.siwekcc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.siwekcc.com (New Window)"">http://www.siwekcc.com</a>",MI,Jonathan Hernandez,11/9/2022,50M-100M,"118,593.00",1,Outbound
Red Oak Builders Inc - Philadelphia,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fredoakbuilders.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://redoakbuilders.com (New Window)"">http://redoakbuilders.com</a>",PA,Javier Gutierrez,11/9/2022,5M-10M,"15,096.00",2,Outbound
"Neubert Construction Services, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.neubertconstruction.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.neubertconstruction.com/ (New Window)"">http://www.neubertconstruction.com/</a>",FL,John Azar,11/8/2022,Less than 5M,"9,360.90",2,Inbound
"Sealaska Constructors, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.sealaska.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.sealaska.com (New Window)"">http://www.sealaska.com</a>",WA,Matthew Gogerty,11/7/2022,20M-50M,"64,409.91",2,Outbound
Blocka Construction,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fblockainc.wordpress.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://blockainc.wordpress.com/ (New Window)"">https://blockainc.wordpress.com/</a>",CA,Colin Bethran,11/7/2022,Less than 5M,"11,071.65",4,Outbound
"GSeay, Inc","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fgseayinc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://gseayinc.com (New Window)"">http://gseayinc.com</a>",FL,Sander Correll,11/4/2022,10M-20M,"20,643.00",2,Inbound
